Pokedex Number,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0398,Staraptor,Normal,485,85,120,70,50,60,100
0399,Bidoof,Normal,250,59,45,40,35,40,31
0400,Bibarel,Normal,410,79,85,60,55,60,71
0401,Kricketot,Bug,194,37,25,41,25,41,25
0402,Kricketune,Bug,384,77,85,51,55,51,65
0403,Shinx,Electric,263,45,65,34,40,34,45
0404,Luxio,Electric,363,60,85,49,60,49,60
0405,Luxray,Electric,523,80,120,79,95,79,70
0406,Budew,Grass,280,40,30,35,50,70,55
0407,Roserade,Grass,515,60,70,65,125,105,90
0408,Cranidos,Rock,350,67,125,40,30,30,58
0409,Rampardos,Rock,495,97,165,60,65,50,58
0410,Shieldon,Rock,350,30,42,118,42,88,30
0411,Bastiodon,Rock,495,60,52,168,47,138,30
0412,Burmy Plant Cloak,Bug,224,40,29,45,29,45,36
0412,Burmy Sandy Cloak,Bug,224,40,29,45,29,45,36
0412,Burmy Trash Cloak,Bug,224,40,29,45,29,45,36
0413,Wormadam Plant Cloak,Bug,424,60,59,85,79,105,36
0413,Wormadam Sandy Cloak,Bug,424,60,79,105,59,85,36
0413,Wormadam Trash Cloak,Bug,424,60,69,95,69,95,36
0414,Mothim,Bug,424,70,94,50,94,50,66
0415,Combee,Bug,244,30,30,42,30,42,70
0416,Vespiquen,Bug,474,70,80,102,80,102,40
0417,Pachirisu,Electric,405,60,45,70,45,90,95
0418,Buizel,Water,330,55,65,35,60,30,85
0419,Floatzel,Water,495,85,105,55,85,50,115
0420,Cherubi,Grass,275,45,35,45,62,53,35
0421,Cherrim,Grass,450,70,60,70,87,78,85
0422,Shellos,Water,325,76,48,48,57,62,34
0423,Gastrodon,Water,475,111,83,68,92,82,39
0424,Ambipom,Normal,482,75,100,66,60,66,115
0425,Drifloon,Ghost,348,90,50,34,60,44,70
0426,Drifblim,Ghost,498,150,80,44,90,54,80
0427,Buneary,Normal,350,55,66,44,44,56,85
0428,Lopunny,Normal,480,65,76,84,54,96,105
0428,Lopunny Mega Lopunny,Normal,580,65,136,94,54,96,135
0429,Mismagius,Ghost,495,60,60,60,105,105,105
0430,Honchkrow,Dark,505,100,125,52,105,52,71
0431,Glameow,Normal,310,49,55,42,42,37,85
0432,Purugly,Normal,452,71,82,64,64,59,112
0433,Chingling,Psychic,285,45,30,50,65,50,45
0434,Stunky,Poison,329,63,63,47,41,41,74
0435,Skuntank,Poison,479,103,93,67,71,61,84
0436,Bronzor,Steel,300,57,24,86,24,86,23
0437,Bronzong,Steel,500,67,89,116,79,116,33
0438,Bonsly,Rock,290,50,80,95,10,45,10
0439,Mime Jr.,Psychic,310,20,25,45,70,90,60
0440,Happiny,Normal,220,100,5,5,15,65,30
0441,Chatot,Normal,411,76,65,45,92,42,91
0442,Spiritomb,Ghost,485,50,92,108,92,108,35
0443,Gible,Dragon,300,58,70,45,40,45,42
0444,Gabite,Dragon,410,68,90,65,50,55,82
0445,Garchomp,Dragon,600,108,130,95,80,85,102
0445,Garchomp Mega Garchomp,Dragon,700,108,170,115,120,95,92
0446,Munchlax,Normal,390,135,85,40,40,85,5
0447,Riolu,Fighting,285,40,70,40,35,40,60
0448,Lucario,Fighting,525,70,110,70,115,70,90
0448,Lucario Mega Lucario,Fighting,625,70,145,88,140,70,112
0449,Hippopotas,Ground,330,68,72,78,38,42,32
0450,Hippowdon,Ground,525,108,112,118,68,72,47
0451,Skorupi,Poison,330,40,50,90,30,55,65
0452,Drapion,Poison,500,70,90,110,60,75,95
0453,Croagunk,Poison,300,48,61,40,61,40,50
0454,Toxicroak,Poison,490,83,106,65,86,65,85
0455,Carnivine,Grass,454,74,100,72,90,72,46
0456,Finneon,Water,330,49,49,56,49,61,66
0457,Lumineon,Water,460,69,69,76,69,86,91
0458,Mantyke,Water,345,45,20,50,60,120,50
0459,Snover,Grass,334,60,62,50,62,60,40
0460,Abomasnow,Grass,494,90,92,75,92,85,60
0460,Abomasnow Mega Abomasnow,Grass,594,90,132,105,132,105,30
0461,Weavile,Dark,510,70,120,65,45,85,125
0462,Magnezone,Electric,535,70,70,115,130,90,60
0463,Lickilicky,Normal,515,110,85,95,80,95,50
0464,Rhyperior,Ground,535,115,140,130,55,55,40
0465,Tangrowth,Grass,535,100,100,125,110,50,50
0466,Electivire,Electric,540,75,123,67,95,85,95
0467,Magmortar,Fire,540,75,95,67,125,95,83
0468,Togekiss,Fairy,545,85,50,95,120,115,80
0469,Yanmega,Bug,515,86,76,86,116,56,95
0470,Leafeon,Grass,525,65,110,130,60,65,95
0471,Glaceon,Ice,525,65,60,110,130,95,65
0472,Gliscor,Ground,510,75,95,125,45,75,95
0473,Mamoswine,Ice,530,110,130,80,70,60,80
0474,Porygon-Z,Normal,535,85,80,70,135,75,90
0475,Gallade,Psychic,518,68,125,65,65,115,80
0475,Gallade Mega Gallade,Psychic,618,68,165,95,65,115,110
0476,Probopass,Rock,525,60,55,145,75,150,40
0477,Dusknoir,Ghost,525,45,100,135,65,135,45
0478,Froslass,Ice,480,70,80,70,80,70,110
0479,Rotom,Electric,440,50,50,77,95,77,91
0479,Rotom Heat Rotom,Electric,520,50,65,107,105,107,86
0479,Rotom Wash Rotom,Electric,520,50,65,107,105,107,86
0479,Rotom Frost Rotom,Electric,520,50,65,107,105,107,86
0479,Rotom Fan Rotom,Electric,520,50,65,107,105,107,86
0479,Rotom Mow Rotom,Electric,520,50,65,107,105,107,86
0480,Uxie,Psychic,580,75,75,130,75,130,95
0481,Mesprit,Psychic,580,80,105,105,105,105,80
0482,Azelf,Psychic,580,75,125,70,125,70,115
0483,Dialga,Steel,680,100,120,120,150,100,90
0483,Dialga Origin Forme,Steel,680,100,100,120,150,120,90
0484,Palkia,Water,680,90,120,100,150,120,100
0484,Palkia Origin Forme,Water,680,90,100,100,150,120,120
0485,Heatran,Fire,600,91,90,106,130,106,77
0486,Regigigas,Normal,670,110,160,110,80,110,100
0487,Giratina Altered Forme,Ghost,680,150,100,120,100,120,90
0487,Giratina Origin Forme,Ghost,680,150,120,100,120,100,90
0488,Cresselia,Psychic,580,120,70,110,75,120,85
0489,Phione,Water,480,80,80,80,80,80,80
0490,Manaphy,Water,600,100,100,100,100,100,100
0491,Darkrai,Dark,600,70,90,90,135,90,125
0492,Shaymin Land Forme,Grass,600,100,100,100,100,100,100
0492,Shaymin Sky Forme,Grass,600,100,103,75,120,75,127
0493,Arceus,Normal,720,120,120,120,120,120,120
0494,Victini,Psychic,600,100,100,100,100,100,100
0495,Snivy,Grass,308,45,45,55,45,55,63
0496,Servine,Grass,413,60,60,75,60,75,83
0497,Serperior,Grass,528,75,75,95,75,95,113
0498,Tepig,Fire,308,65,63,45,45,45,45
0499,Pignite,Fire,418,90,93,55,70,55,55
0500,Emboar,Fire,528,110,123,65,100,65,65
0501,Oshawott,Water,308,55,55,45,63,45,45
0502,Dewott,Water,413,75,75,60,83,60,60
0503,Samurott,Water,528,95,100,85,108,70,70
0503,Samurott Hisuian Samurott,Water,528,90,108,80,100,65,85
0504,Patrat,Normal,255,45,55,39,35,39,42
0505,Watchog,Normal,420,60,85,69,60,69,77
0506,Lillipup,Normal,275,45,60,45,25,45,55
0507,Herdier,Normal,370,65,80,65,35,65,60
0508,Stoutland,Normal,500,85,110,90,45,90,80
0509,Purrloin,Dark,281,41,50,37,50,37,66
0510,Liepard,Dark,446,64,88,50,88,50,106
0511,Pansage,Grass,316,50,53,48,53,48,64
0512,Simisage,Grass,498,75,98,63,98,63,101
0513,Pansear,Fire,316,50,53,48,53,48,64
0514,Simisear,Fire,498,75,98,63,98,63,101
0515,Panpour,Water,316,50,53,48,53,48,64
0516,Simipour,Water,498,75,98,63,98,63,101
0517,Munna,Psychic,292,76,25,45,67,55,24
0518,Musharna,Psychic,487,116,55,85,107,95,29
0519,Pidove,Normal,264,50,55,50,36,30,43
0520,Tranquill,Normal,358,62,77,62,50,42,65
0521,Unfezant,Normal,488,80,115,80,65,55,93
0522,Blitzle,Electric,295,45,60,32,50,32,76
0523,Zebstrika,Electric,497,75,100,63,80,63,116
0524,Roggenrola,Rock,280,55,75,85,25,25,15
0525,Boldore,Rock,390,70,105,105,50,40,20
0526,Gigalith,Rock,515,85,135,130,60,80,25
0527,Woobat,Psychic,323,65,45,43,55,43,72
0528,Swoobat,Psychic,425,67,57,55,77,55,114
0529,Drilbur,Ground,328,60,85,40,30,45,68
0530,Excadrill,Ground,508,110,135,60,50,65,88
0531,Audino,Normal,445,103,60,86,60,86,50
0531,Audino Mega Audino,Normal,545,103,60,126,80,126,50
0532,Timburr,Fighting,305,75,80,55,25,35,35
0533,Gurdurr,Fighting,405,85,105,85,40,50,40
0534,Conkeldurr,Fighting,505,105,140,95,55,65,45
0535,Tympole,Water,294,50,50,40,50,40,64
0536,Palpitoad,Water,384,75,65,55,65,55,69
0537,Seismitoad,Water,509,105,95,75,85,75,74
0538,Throh,Fighting,465,120,100,85,30,85,45
0539,Sawk,Fighting,465,75,125,75,30,75,85
0540,Sewaddle,Bug,310,45,53,70,40,60,42
0541,Swadloon,Bug,380,55,63,90,50,80,42
0542,Leavanny,Bug,500,75,103,80,70,80,92
0543,Venipede,Bug,260,30,45,59,30,39,57
0544,Whirlipede,Bug,360,40,55,99,40,79,47
0545,Scolipede,Bug,485,60,100,89,55,69,112
0546,Cottonee,Grass,280,40,27,60,37,50,66
0547,Whimsicott,Grass,480,60,67,85,77,75,116
0548,Petilil,Grass,280,45,35,50,70,50,30
0549,Lilligant,Grass,480,70,60,75,110,75,90
0549,Lilligant Hisuian Lilligant,Grass,480,70,105,75,50,75,105
0550,Basculin Red-Striped Form,Water,460,70,92,65,80,55,98
0550,Basculin Blue-Striped Form,Water,460,70,92,65,80,55,98
0550,Basculin White-Striped Form,Water,460,70,92,65,80,55,98
0551,Sandile,Ground,292,50,72,35,35,35,65
0552,Krokorok,Ground,351,60,82,45,45,45,74
0553,Krookodile,Ground,519,95,117,80,65,70,92
0554,Darumaka,Fire,315,70,90,45,15,45,50
0554,Darumaka Galarian Darumaka,Ice,315,70,90,45,15,45,50
0555,Darmanitan Standard Mode,Fire,480,105,140,55,30,55,95
0555,Darmanitan Zen Mode,Fire,540,105,30,105,140,105,55
0555,Darmanitan Galarian Standard Mode,Ice,480,105,140,55,30,55,95
0555,Darmanitan Galarian Zen Mode,Ice,540,105,160,55,30,55,135
0556,Maractus,Grass,461,75,86,67,106,67,60
0557,Dwebble,Bug,325,50,65,85,35,35,55
0558,Crustle,Bug,485,70,105,125,65,75,45
0559,Scraggy,Dark,348,50,75,70,35,70,48
0560,Scrafty,Dark,488,65,90,115,45,115,58
0561,Sigilyph,Psychic,490,72,58,80,103,80,97
0562,Yamask,Ghost,303,38,30,85,55,65,30
0562,Yamask Galarian Yamask,Ground,303,38,55,85,30,65,30
0563,Cofagrigus,Ghost,483,58,50,145,95,105,30
0564,Tirtouga,Water,355,54,78,103,53,45,22
0565,Carracosta,Water,495,74,108,133,83,65,32
0566,Archen,Rock,401,55,112,45,74,45,70
0567,Archeops,Rock,567,75,140,65,112,65,110
0568,Trubbish,Poison,329,50,50,62,40,62,65
0569,Garbodor,Poison,474,80,95,82,60,82,75
0570,Zorua,Dark,330,40,65,40,80,40,65
0570,Zorua Hisuian Zorua,Normal,330,35,60,40,85,40,70
0571,Zoroark,Dark,510,60,105,60,120,60,105
0571,Zoroark Hisuian Zoroark,Normal,510,55,100,60,125,60,110
0572,Minccino,Normal,300,55,50,40,40,40,75
0573,Cinccino,Normal,470,75,95,60,65,60,115
0574,Gothita,Psychic,290,45,30,50,55,65,45
0575,Gothorita,Psychic,390,60,45,70,75,85,55
0576,Gothitelle,Psychic,490,70,55,95,95,110,65
0577,Solosis,Psychic,290,45,30,40,105,50,20
0578,Duosion,Psychic,370,65,40,50,125,60,30
0579,Reuniclus,Psychic,490,110,65,75,125,85,30
0580,Ducklett,Water,305,62,44,50,44,50,55
0581,Swanna,Water,473,75,87,63,87,63,98
0582,Vanillite,Ice,305,36,50,50,65,60,44
0583,Vanillish,Ice,395,51,65,65,80,75,59
0584,Vanilluxe,Ice,535,71,95,85,110,95,79
0585,Deerling,Normal,335,60,60,50,40,50,75
0586,Sawsbuck,Normal,475,80,100,70,60,70,95
0587,Emolga,Electric,428,55,75,60,75,60,103
0588,Karrablast,Bug,315,50,75,45,40,45,60
0589,Escavalier,Bug,495,70,135,105,60,105,20
0590,Foongus,Grass,294,69,55,45,55,55,15
0591,Amoonguss,Grass,464,114,85,70,85,80,30
0592,Frillish,Water,335,55,40,50,65,85,40
0593,Jellicent,Water,480,100,60,70,85,105,60
0594,Alomomola,Water,470,165,75,80,40,45,65
0595,Joltik,Bug,319,50,47,50,57,50,65
0596,Galvantula,Bug,472,70,77,60,97,60,108
0597,Ferroseed,Grass,305,44,50,91,24,86,10
0598,Ferrothorn,Grass,489,74,94,131,54,116,20
0599,Klink,Steel,300,40,55,70,45,60,30
0600,Klang,Steel,440,60,80,95,70,85,50
0601,Klinklang,Steel,520,60,100,115,70,85,90
0602,Tynamo,Electric,275,35,55,40,45,40,60
0603,Eelektrik,Electric,405,65,85,70,75,70,40
0604,Eelektross,Electric,515,85,115,80,105,80,50
0605,Elgyem,Psychic,335,55,55,55,85,55,30
0606,Beheeyem,Psychic,485,75,75,75,125,95,40
0607,Litwick,Ghost,275,50,30,55,65,55,20
0608,Lampent,Ghost,370,60,40,60,95,60,55
0609,Chandelure,Ghost,520,60,55,90,145,90,80
0610,Axew,Dragon,320,46,87,60,30,40,57
0611,Fraxure,Dragon,410,66,117,70,40,50,67
0612,Haxorus,Dragon,540,76,147,90,60,70,97
0613,Cubchoo,Ice,305,55,70,40,60,40,40
0614,Beartic,Ice,505,95,130,80,70,80,50
0615,Cryogonal,Ice,515,80,50,50,95,135,105
0616,Shelmet,Bug,305,50,40,85,40,65,25
0617,Accelgor,Bug,495,80,70,40,100,60,145
0618,Stunfisk,Ground,471,109,66,84,81,99,32
0618,Stunfisk Galarian Stunfisk,Ground,471,109,81,99,66,84,32
0619,Mienfoo,Fighting,350,45,85,50,55,50,65
0620,Mienshao,Fighting,510,65,125,60,95,60,105
0621,Druddigon,Dragon,485,77,120,90,60,90,48
0622,Golett,Ground,303,59,74,50,35,50,35
0623,Golurk,Ground,483,89,124,80,55,80,55
0624,Pawniard,Dark,340,45,85,70,40,40,60
0625,Bisharp,Dark,490,65,125,100,60,70,70
0626,Bouffalant,Normal,490,95,110,95,40,95,55
0627,Rufflet,Normal,350,70,83,50,37,50,60
0628,Braviary,Normal,510,100,123,75,57,75,80
0628,Braviary Hisuian Braviary,Psychic,510,110,83,70,112,70,65
0629,Vullaby,Dark,370,70,55,75,45,65,60
0630,Mandibuzz,Dark,510,110,65,105,55,95,80
0631,Heatmor,Fire,484,85,97,66,105,66,65
0632,Durant,Bug,484,58,109,112,48,48,109
0633,Deino,Dark,300,52,65,50,45,50,38
0634,Zweilous,Dark,420,72,85,70,65,70,58
0635,Hydreigon,Dark,600,92,105,90,125,90,98
0636,Larvesta,Bug,360,55,85,55,50,55,60
0637,Volcarona,Bug,550,85,60,65,135,105,100
0638,Cobalion,Steel,580,91,90,129,90,72,108
0639,Terrakion,Rock,580,91,129,90,72,90,108
0640,Virizion,Grass,580,91,90,72,90,129,108
0641,Tornadus Incarnate Forme,Flying,580,79,115,70,125,80,111
0641,Tornadus Therian Forme,Flying,580,79,100,80,110,90,121
0642,Thundurus Incarnate Forme,Electric,580,79,115,70,125,80,111
0642,Thundurus Therian Forme,Electric,580,79,105,70,145,80,101
0643,Reshiram,Dragon,680,100,120,100,150,120,90
0644,Zekrom,Dragon,680,100,150,120,120,100,90
0645,Landorus Incarnate Forme,Ground,600,89,125,90,115,80,101
0645,Landorus Therian Forme,Ground,600,89,145,90,105,80,91
0646,Kyurem,Dragon,660,125,130,90,130,90,95
0646,Kyurem White Kyurem,Dragon,700,125,120,90,170,100,95
0646,Kyurem Black Kyurem,Dragon,700,125,170,100,120,90,95
0647,Keldeo Ordinary Form,Water,580,91,72,90,129,90,108
0647,Keldeo Resolute Form,Water,580,91,72,90,129,90,108
0648,Meloetta Aria Forme,Normal,600,100,77,77,128,128,90
0648,Meloetta Pirouette Forme,Normal,600,100,128,90,77,77,128
0649,Genesect,Bug,600,71,120,95,120,95,99
0650,Chespin,Grass,313,56,61,65,48,45,38
0651,Quilladin,Grass,405,61,78,95,56,58,57
0652,Chesnaught,Grass,530,88,107,122,74,75,64
0653,Fennekin,Fire,307,40,45,40,62,60,60
0654,Braixen,Fire,409,59,59,58,90,70,73
0655,Delphox,Fire,534,75,69,72,114,100,104
0656,Froakie,Water,314,41,56,40,62,44,71
0657,Frogadier,Water,405,54,63,52,83,56,97
0658,Greninja,Water,530,72,95,67,103,71,122
0658,Greninja Ash-Greninja,Water,640,72,145,67,153,71,132
0659,Bunnelby,Normal,237,38,36,38,32,36,57
0660,Diggersby,Normal,423,85,56,77,50,77,78
0661,Fletchling,Normal,278,45,50,43,40,38,62
0662,Fletchinder,Fire,382,62,73,55,56,52,84
0663,Talonflame,Fire,499,78,81,71,74,69,126
0664,Scatterbug,Bug,200,38,35,40,27,25,35
0665,Spewpa,Bug,213,45,22,60,27,30,29
0666,Vivillon,Bug,411,80,52,50,90,50,89
0667,Litleo,Fire,369,62,50,58,73,54,72
0668,Pyroar,Fire,507,86,68,72,109,66,106
0669,Flabébé,Fairy,303,44,38,39,61,79,42
0670,Floette,Fairy,371,54,45,47,75,98,52
0671,Florges,Fairy,552,78,65,68,112,154,75
0672,Skiddo,Grass,350,66,65,48,62,57,52
0673,Gogoat,Grass,531,123,100,62,97,81,68
0674,Pancham,Fighting,348,67,82,62,46,48,43
0675,Pangoro,Fighting,495,95,124,78,69,71,58
0676,Furfrou,Normal,472,75,80,60,65,90,102
0677,Espurr,Psychic,355,62,48,54,63,60,68
0678,Meowstic Male,Psychic,466,74,48,76,83,81,104
0678,Meowstic Female,Psychic,466,74,48,76,83,81,104
0679,Honedge,Steel,325,45,80,100,35,37,28
0680,Doublade,Steel,448,59,110,150,45,49,35
0681,Aegislash Shield Forme,Steel,500,60,50,140,50,140,60
0681,Aegislash Blade Forme,Steel,500,60,140,50,140,50,60
0682,Spritzee,Fairy,341,78,52,60,63,65,23
0683,Aromatisse,Fairy,462,101,72,72,99,89,29
0684,Swirlix,Fairy,341,62,48,66,59,57,49
0685,Slurpuff,Fairy,480,82,80,86,85,75,72
0686,Inkay,Dark,288,53,54,53,37,46,45
0687,Malamar,Dark,482,86,92,88,68,75,73
0688,Binacle,Rock,306,42,52,67,39,56,50
0689,Barbaracle,Rock,500,72,105,115,54,86,68
0690,Skrelp,Poison,320,50,60,60,60,60,30
0691,Dragalge,Poison,494,65,75,90,97,123,44
0692,Clauncher,Water,330,50,53,62,58,63,44
0693,Clawitzer,Water,500,71,73,88,120,89,59
0694,Helioptile,Electric,289,44,38,33,61,43,70
0695,Heliolisk,Electric,481,62,55,52,109,94,109
0696,Tyrunt,Rock,362,58,89,77,45,45,48
0697,Tyrantrum,Rock,521,82,121,119,69,59,71
0698,Amaura,Rock,362,77,59,50,67,63,46
0699,Aurorus,Rock,521,123,77,72,99,92,58
0700,Sylveon,Fairy,525,95,65,65,110,130,60
0701,Hawlucha,Fighting,500,78,92,75,74,63,118
0702,Dedenne,Electric,431,67,58,57,81,67,101
0703,Carbink,Rock,500,50,50,150,50,150,50
0704,Goomy,Dragon,300,45,50,35,55,75,40
0705,Sliggoo,Dragon,452,68,75,53,83,113,60
0705,Sliggoo Hisuian Sliggoo,Steel,452,58,75,83,83,113,40
0706,Goodra,Dragon,600,90,100,70,110,150,80
0706,Goodra Hisuian Goodra,Steel,600,80,100,100,110,150,60
0707,Klefki,Steel,470,57,80,91,80,87,75
0708,Phantump,Ghost,309,43,70,48,50,60,38
0709,Trevenant,Ghost,474,85,110,76,65,82,56
0710,Pumpkaboo Average Size,Ghost,335,49,66,70,44,55,51
0710,Pumpkaboo Small Size,Ghost,335,44,66,70,44,55,56
0710,Pumpkaboo Large Size,Ghost,335,54,66,70,44,55,46
0710,Pumpkaboo Super Size,Ghost,335,59,66,70,44,55,41
0711,Gourgeist Average Size,Ghost,494,65,90,122,58,75,84
0711,Gourgeist Small Size,Ghost,494,55,85,122,58,75,99
0711,Gourgeist Large Size,Ghost,494,75,95,122,58,75,69
0711,Gourgeist Super Size,Ghost,494,85,100,122,58,75,54
0712,Bergmite,Ice,304,55,69,85,32,35,28
0713,Avalugg,Ice,514,95,117,184,44,46,28
0713,Avalugg Hisuian Avalugg,Ice,514,95,127,184,34,36,38
0714,Noibat,Flying,245,40,30,35,45,40,55
0715,Noivern,Flying,535,85,70,80,97,80,123
0716,Xerneas,Fairy,680,126,131,95,131,98,99
0717,Yveltal,Dark,680,126,131,95,131,98,99
0718,Zygarde 50% Forme,Dragon,600,108,100,121,81,95,95
0718,Zygarde 10% Forme,Dragon,486,54,100,71,61,85,115
0718,Zygarde Complete Forme,Dragon,708,216,100,121,91,95,85
0719,Diancie,Rock,600,50,100,150,100,150,50
0719,Diancie Mega Diancie,Rock,700,50,160,110,160,110,110
0720,Hoopa Hoopa Confined,Psychic,600,80,110,60,150,130,70
0720,Hoopa Hoopa Unbound,Psychic,680,80,160,60,170,130,80
0721,Volcanion,Fire,600,80,110,120,130,90,70
0722,Rowlet,Grass,320,68,55,55,50,50,42
0723,Dartrix,Grass,420,78,75,75,70,70,52
0724,Decidueye,Grass,530,78,107,75,100,100,70
0724,Decidueye Hisuian Decidueye,Grass,530,88,112,80,95,95,60
0725,Litten,Fire,320,45,65,40,60,40,70
0726,Torracat,Fire,420,65,85,50,80,50,90
0727,Incineroar,Fire,530,95,115,90,80,90,60
0728,Popplio,Water,320,50,54,54,66,56,40
0729,Brionne,Water,420,60,69,69,91,81,50
0730,Primarina,Water,530,80,74,74,126,116,60
0731,Pikipek,Normal,265,35,75,30,30,30,65
0732,Trumbeak,Normal,355,55,85,50,40,50,75
0733,Toucannon,Normal,485,80,120,75,75,75,60
0734,Yungoos,Normal,253,48,70,30,30,30,45
0735,Gumshoos,Normal,418,88,110,60,55,60,45
0736,Grubbin,Bug,300,47,62,45,55,45,46
0737,Charjabug,Bug,400,57,82,95,55,75,36
0738,Vikavolt,Bug,500,77,70,90,145,75,43
0739,Crabrawler,Fighting,338,47,82,57,42,47,63
0740,Crabominable,Fighting,478,97,132,77,62,67,43
0741,Oricorio Baile Style,Fire,476,75,70,70,98,70,93
0741,Oricorio Pom-Pom Style,Electric,476,75,70,70,98,70,93
0741,Oricorio Pa'u Style,Psychic,476,75,70,70,98,70,93
0741,Oricorio Sensu Style,Ghost,476,75,70,70,98,70,93
0742,Cutiefly,Bug,304,40,45,40,55,40,84
0743,Ribombee,Bug,464,60,55,60,95,70,124
0744,Rockruff,Rock,280,45,65,40,30,40,60
0744,Rockruff Own Tempo Rockruff,Rock,280,45,65,40,30,40,60
0745,Lycanroc Midday Form,Rock,487,75,115,65,55,65,112
0745,Lycanroc Midnight Form,Rock,487,85,115,75,55,75,82
0745,Lycanroc Dusk Form,Rock,487,75,117,65,55,65,110
0746,Wishiwashi Solo Form,Water,175,45,20,20,25,25,40
0746,Wishiwashi School Form,Water,620,45,140,130,140,135,30
0747,Mareanie,Poison,305,50,53,62,43,52,45
0748,Toxapex,Poison,495,50,63,152,53,142,35
0749,Mudbray,Ground,385,70,100,70,45,55,45
0750,Mudsdale,Ground,500,100,125,100,55,85,35
0751,Dewpider,Water,269,38,40,52,40,72,27
0752,Araquanid,Water,454,68,70,92,50,132,42
0753,Fomantis,Grass,250,40,55,35,50,35,35
0754,Lurantis,Grass,480,70,105,90,80,90,45
0755,Morelull,Grass,285,40,35,55,65,75,15
0756,Shiinotic,Grass,405,60,45,80,90,100,30
0757,Salandit,Poison,320,48,44,40,71,40,77
0758,Salazzle,Poison,480,68,64,60,111,60,117
0759,Stufful,Normal,340,70,75,50,45,50,50
0760,Bewear,Normal,500,120,125,80,55,60,60
0761,Bounsweet,Grass,210,42,30,38,30,38,32
0762,Steenee,Grass,290,52,40,48,40,48,62
0763,Tsareena,Grass,510,72,120,98,50,98,72
0764,Comfey,Fairy,485,51,52,90,82,110,100
0765,Oranguru,Normal,490,90,60,80,90,110,60
0766,Passimian,Fighting,490,100,120,90,40,60,80
0767,Wimpod,Bug,230,25,35,40,20,30,80
0768,Golisopod,Bug,530,75,125,140,60,90,40
0769,Sandygast,Ghost,320,55,55,80,70,45,15
0770,Palossand,Ghost,480,85,75,110,100,75,35
0771,Pyukumuku,Water,410,55,60,130,30,130,5
0772,Type: Null,Normal,534,95,95,95,95,95,59
0773,Silvally,Normal,570,95,95,95,95,95,95
0774,Minior Meteor Form,Rock,440,60,60,100,60,100,60
0774,Minior Core Form,Rock,500,60,100,60,100,60,120
0775,Komala,Normal,480,65,115,65,75,95,65
0776,Turtonator,Fire,485,60,78,135,91,85,36
0777,Togedemaru,Electric,435,65,98,63,40,73,96
0778,Mimikyu,Ghost,476,55,90,80,50,105,96
0779,Bruxish,Water,475,68,105,70,70,70,92
0780,Drampa,Normal,485,78,60,85,135,91,36
0781,Dhelmise,Ghost,517,70,131,100,86,90,40
0782,Jangmo-o,Dragon,300,45,55,65,45,45,45
0783,Hakamo-o,Dragon,420,55,75,90,65,70,65
0784,Kommo-o,Dragon,600,75,110,125,100,105,85
0785,Tapu Koko,Electric,570,70,115,85,95,75,130
0786,Tapu Lele,Psychic,570,70,85,75,130,115,95
0787,Tapu Bulu,Grass,570,70,130,115,85,95,75
0788,Tapu Fini,Water,570,70,75,115,95,130,85
0789,Cosmog,Psychic,200,43,29,31,29,31,37
0790,Cosmoem,Psychic,400,43,29,131,29,131,37
0791,Solgaleo,Psychic,680,137,137,107,113,89,97
0792,Lunala,Psychic,680,137,113,89,137,107,97
0793,Nihilego,Rock,570,109,53,47,127,131,103
0794,Buzzwole,Bug,570,107,139,139,53,53,79
0795,Pheromosa,Bug,570,71,137,37,137,37,151
0796,Xurkitree,Electric,570,83,89,71,173,71,83
0797,Celesteela,Steel,570,97,101,103,107,101,61
0798,Kartana,Grass,570,59,181,131,59,31,109
0799,Guzzlord,Dark,570,223,101,53,97,53,43
0800,Necrozma,Psychic,600,97,107,101,127,89,79
0800,Necrozma Dusk Mane Necrozma,Psychic,680,97,157,127,113,109,77
0800,Necrozma Dawn Wings Necrozma,Psychic,680,97,113,109,157,127,77
0800,Necrozma Ultra Necrozma,Psychic,754,97,167,97,167,97,129
0801,Magearna,Steel,600,80,95,115,130,115,65
0802,Marshadow,Fighting,600,90,125,80,90,90,125
0803,Poipole,Poison,420,67,73,67,73,67,73
0804,Naganadel,Poison,540,73,73,73,127,73,121
0805,Stakataka,Rock,570,61,131,211,53,101,13
0806,Blacephalon,Fire,570,53,127,53,151,79,107
0807,Zeraora,Electric,600,88,112,75,102,80,143
0808,Meltan,Steel,300,46,65,65,55,35,34
0809,Melmetal,Steel,600,135,143,143,80,65,34
0810,Grookey,Grass,310,50,65,50,40,40,65
0811,Thwackey,Grass,420,70,85,70,55,60,80
0812,Rillaboom,Grass,530,100,125,90,60,70,85
0813,Scorbunny,Fire,310,50,71,40,40,40,69
0814,Raboot,Fire,420,65,86,60,55,60,94
0815,Cinderace,Fire,530,80,116,75,65,75,119
0816,Sobble,Water,310,50,40,40,70,40,70
0817,Drizzile,Water,420,65,60,55,95,55,90
0818,Inteleon,Water,530,70,85,65,125,65,120
0819,Skwovet,Normal,275,70,55,55,35,35,25
0820,Greedent,Normal,460,120,95,95,55,75,20
0821,Rookidee,Flying,245,38,47,35,33,35,57
0822,Corvisquire,Flying,365,68,67,55,43,55,77
0823,Corviknight,Flying,495,98,87,105,53,85,67
0824,Blipbug,Bug,180,25,20,20,25,45,45
